CODIGO;NOMBRE DEL PRODUCTO;CODIGO DE BARRAS;TIPO DE PRODUCTO;ENVASE;CONT.UN.COMPRA;CONT.UN.VENTA;FAMILIA;SUB-FAMILIA 1;SUB-FAMILIA 2;ESTADO;INCLUYE EN BOLETA;INCLUYE EN FACTURA;EXENTO DE IVA;NOMBRE CORTO;PESABLE;ILA;PRECIO VENTA
1;JAMON AL VACIO LA REYNA                 ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;CECINAS                                 ;JAMON                                   ;                                        ;ACTIVO                                  ;S;S;N;JAMON AL VACIO LA RE;S;0;5214
2;COPPA LA REYNA                          ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;LACTEOS                                 ;LECHES                                  ;                                        ;ACTIVO                                  ;S;S;N;COPPA LA REYNA      ;S;0;1335
3;HUEVOS SUPER CJ.180U.BLANCO             ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;ACTIVO                                  ;S;S;N;HUEVOS SUPER        ; ;0;21060
4;HUEVOS EXTRA CJ.180 U.BLANCO            ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;ACTIVO                                  ;S;S;N;HUEVOS EXTRA        ; ;0;18900
5;HUEVOS PRIMERA CJ.180U.BLANCO           ;7802900000000;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;ACTIVO                                  ;S;S;N;HUEVOS PRIMERA      ; ;0;18540
6;HUEVOS SEGUNDA CJ.180U.BLANCO           ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;ACTIVO                                  ;S;S;N;HUEVOS SEGUNDA      ; ;0;17100
9;BANDEJA HUEVO SUPER                     ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;ACTIVO                                  ;S;S;N;BANDEJA HUEVO SUPER ; ;0;3810
10;BANDEJA HUEVO EXTRA                     ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;ACTIVO                                  ;S;S;N;BANDEJA HUEVO EXTRA ; ;0;3450
11;BANDEJA HUEVO PRIMERA                   ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;ACTIVO                                  ;S;S;N;BANDEJA HUEVO PRIMER; ;0;3390
12;BANDEJA HUEVO SEGUNDA                   ;               ;PRODUCTO TERMINADO                      ;UNIDAD                                  ;1;1;HUEVOS                                  ;                                        ;                                        ;ACTIVO                                  ;S;S;N;BANDEJA HUEVO SEGUND; ;0;3150
